,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
669,CHEMBL2436025,COC(=O)c1ccc(NC(=O)c2csc([C@H](Cc3ccc(OCc4ccccc4)cc3)NC(=O)C3CCCCC3)n2)cc1,4.42,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973670>,0.012034232284723775
670,CHEMBL611317,CCCOc1c2cccc1Cc1cc(C(P(=O)(O)O)P(=O)(O)O)cc(c1O)Cc1cccc(c1OCCC)Cc1cc(C(P(=O)(O)O)P(=O)(O)O)cc(c1O)C2,3.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9736C0>,0.02024191144580439
671,CHEMBL2011704,COc1ccc(/N=C2\S/C(=C\c3ccc(Oc4ccccc4)cc3)C(=O)N2Cc2ccc(C(=O)O)cc2)cc1,2.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973710>,0.0820849986238988
672,CHEMBL2424694,CC1(C)C=C2C(=NN(c3ccccc3N3CCOCC3)C(N)=C2C#N)CO1,2.9,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973760>,0.05502322005640723
673,CHEMBL2424708,CC(=O)Nc1ccc(N2N=C3COC(C)(C)C=C3C(C#N)=C2N)cc1,6.09537,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9737B0>,0.002253276274237349
674,CHEMBL25178,CC(=O)Oc1cc(S(=O)(=O)Oc2ccc(-c3ccc(-c4coc5ccccc45)cc3)cc2)ccc1C(=O)O,1.16,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973800>,0.3134861808826053
675,CHEMBL26554,CC(Cc1ccccc1)(Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1)C(=O)O,0.29,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973850>,0.7482635675785653
676,CHEMBL1938831,NS(=O)(=O)C(F)(F)c1cc2nc(CN(Cc3ccc(-c4csnn4)cc3)S(=O)(=O)c3ccc(OCC(=O)O)cc3)ccc2cc1F,0.038,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9738A0>,0.9627129408911995
677,CHEMBL26100,CCCCc1oc2ccccc2c1Cc1ccc2c(Br)c(OCn3cnnn3)ccc2c1,0.7,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9738F0>,0.4965853037914095
678,CHEMBL2430578,CCCOc1c2cccc1Cc1cc(C(O)(P(=O)(O)O)P(=O)(O)O)cc(c1O)Cc1cccc(c1OCCC)Cc1cc(C(O)(P(=O)(O)O)P(=O)(O)O)cc(c1O)C2,7.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973940>,0.0006755387751938444
679,CHEMBL611611,CCCOc1c2cccc1Cc1cc(C(P(=O)(O)O)P(=O)(O)O)cc(c1O)Cc1cccc(c1OCCC)Cc1cccc(c1O)C2,1.2,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973990>,0.30119421191220214
680,CHEMBL403093,O=C1C[C@@H]2c3ccccc3O[C@H]3c4cc(O)ccc4-c4c(O)cc(O)c1c4[C@H]23,4.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9739E0>,0.013568559012200934
681,CHEMBL403411,O=C1c2c(O)cc(O)c3c2[C@@H]2[C@@H](c4ccccc4O[C@H]2c2cccc(O)c2-3)[C@H]1O,5.6,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973A30>,0.003697863716482932
682,CHEMBL1823956,O=C(/C=C/c1ccc(Cl)cc1)NC(Cc1ccc2cc(OCc3ccccc3F)ccc2c1)C(=O)O,2.59,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973A80>,0.07502004008532698
683,CHEMBL2424712,CCc1ccccc1N1N=C2COC(C)(C)C=C2C(C#N)=C1N,1.59956,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F973AD0>,0.2019853720090227
