,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
125,CHEMBL601733,COc1cc(/C=C2\SC(=S)N(c3cccc(Cl)c3)C2=O)cc([N+](=O)[O-])c1O,4.1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6F30>,0.016572675401761255
126,CHEMBL198940,CN(C)S(=O)(=O)c1ccc(CN(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1,0.027999999999999997,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6F80>,0.9723883668012469
127,CHEMBL8725,COC(=O)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)OCc1ccccc1,1.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6E90>,0.36787944117144233
128,CHEMBL1938819,NS(=O)(=O)C(F)(F)c1ccc(CN(Cc2ccc(-c3csnn3)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1F,0.031,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6DF0>,0.9694755730760259
129,CHEMBL1938823,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C3CC(=O)NS3(=O)=O)c(F)c2)cc1,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DD4300>,0.631283645506926
130,CHEMBL1938830,NS(=O)(=O)C(F)(F)c1cc2cc(CN(Cc3ccc(-c4csnn4)cc3)S(=O)(=O)c3ccc(OCC(=O)O)cc3)ccc2cc1F,0.035,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DD4260>,0.9656054162575665
131,CHEMBL1783777,COc1ccc(-c2cc(-c3ccccc3)no2)c(OCCN2CCCCC2)c1,8.8,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DD41C0>,0.0001507330750954765
132,CHEMBL1086226,O=C(O)[C@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br,0.038,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DD4030>,0.9627129408911995
133,CHEMBL26399,CCCCC(Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br)C(=O)O,0.052000000000000005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DD4080>,0.9493288668428895
134,CHEMBL24003,O=C(O)COc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DD40D0>,0.9048374180359595
